id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
greenhouse:wehrtyou:7964062,Hudson River Trading,Algorithm Development (Quant Research & Trading) Internship – Summer 2027,Summer 2027,False,,Internship,,Quant,"London, United Kingdom; New York, NY, United States; Singapore",unknown,29,,Python; C++; MATLAB; Pandas,2026-07-13T11:39:48-04:00,exact,2026-08-07T00:49:01Z,https://www.hudsonrivertrading.com/careers/job/?gh_jid=7964062
greenhouse:wehrtyou:8052083,Hudson River Trading,Software Engineering Internship (C++ or Python) – Summer 2027,Summer 2027,False,,Internship,,Software,"Austin, TX, United States; Chicago, Illinois, United States; London, United Kingdom; New York, NY, United States; Singapore",unknown,29,,Python; C++,2026-07-13T11:35:06-04:00,exact,2026-07-13T18:00:59Z,https://www.hudsonrivertrading.com/careers/job/?gh_jid=8052083
lever:xsolla:1c0e5375-2352-4a2c-a816-48ddebbdd3d6,Xsolla,AI-First Engineering Intern,Not stated,True,,Internship,,Data & ML/AI,"Los Angeles, United States",unknown,,20–25 USD/hr,Git,2026-07-10T17:32:27Z,exact,2026-07-16T07:39:11Z,https://jobs.lever.co/xsolla/1c0e5375-2352-4a2c-a816-48ddebbdd3d6
lever:xsolla:5d5fd6b3-d82f-437a-b251-abf4674ac874,Xsolla,AI-First Engineering Intern,Not stated,True,,Internship,,Data & ML/AI,"Raleigh, United States",unknown,,20–25 USD/hr,Git,2026-07-10T17:33:56Z,exact,2026-07-27T06:47:27Z,https://jobs.lever.co/xsolla/5d5fd6b3-d82f-437a-b251-abf4674ac874
greenhouse:flowtraders:8047166,Flow Traders,Quantitative Trading Intern Summer 2027,Summer 2027,False,,Internship,,Quant,New York,unknown,,,,2026-07-08T15:27:38-04:00,exact,2026-08-07T00:49:01Z,https://job-boards.greenhouse.io/flowtraders/jobs/8047166
greenhouse:jumptrading:7848371,Jump Trading,Campus Quantitative Trader (Intern),Not stated,True,,Internship,,Quant,Chicago; New York,unknown,57,$300k/yr,,2026-07-08T17:35:47-04:00,exact,2026-08-07T00:49:01Z,https://www.jumptrading.com/hr/job?gh_jid=7848371
greenhouse:jumptrading:7982648,Jump Trading,"Campus Quantitative Researcher, UG/MS (Intern)",Not stated,True,,Internship,,Quant,Chicago; New York,offers,57,$300k/yr,Python; C++,2026-07-08T17:35:58-04:00,exact,2026-08-07T00:49:01Z,https://www.jumptrading.com/hr/job?gh_jid=7982648
greenhouse:jumptrading:8052281,Jump Trading,Campus AI Research Engineer (Intern),Not stated,True,,Internship,,Data & ML/AI,Chicago; New York,offers,57,$300k/yr,Python; C++; PyTorch; TensorFlow; CUDA,2026-07-08T17:36:47-04:00,exact,2026-07-16T07:39:11Z,https://www.jumptrading.com/hr/job?gh_jid=8052281
greenhouse:jumptrading:8052338,Jump Trading,Campus AI Research Engineer - Deep Learning (Intern),Not stated,True,,Internship,,Data & ML/AI,Chicago; New York,offers,57,$300k/yr,Python; C++; PyTorch; TensorFlow; CUDA,2026-07-08T17:37:20-04:00,exact,2026-07-16T07:39:11Z,https://www.jumptrading.com/hr/job?gh_jid=8052338
greenhouse:jumptrading:8052351,Jump Trading,Campus AI Research Engineer – Research Automation (Intern),Not stated,True,,Internship,,Data & ML/AI,Chicago; New York,offers,57,$300k/yr,Python; C++; PyTorch; TensorFlow; CUDA,2026-07-08T17:37:50-04:00,exact,2026-07-16T07:39:11Z,https://www.jumptrading.com/hr/job?gh_jid=8052351
